,ID,SMILES,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
851,DB01022,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC\C(C)=C\CC1=C(C)C(=O)C2=C(C=CC=C2)C1=O,450.3497807119999,2,0,9.157600000000002,True
852,DB01023,CCOC(=O)C1=C(C)NC(C)=C(C1C1=C(Cl)C(Cl)=CC=C1)C(=O)OC,383.069113448,5,1,3.9643000000000033,True
853,DB01024,COC1=C(C\C=C(/C)CCC(O)=O)C(O)=C2C(=O)OCC2=C1C,320.12598836,5,2,2.733220000000001,True
854,DB01025,CC(C)C1=CC2=C(OC3=NC(N)=C(C=C3C2=O)C(O)=O)C=C1,298.095356928,5,2,2.745000000000001,True
855,DB01026,CC(=O)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1,530.148760736,7,0,4.2058000000000035,True
856,DB01028,COC(F)(F)C(Cl)Cl,163.960726548,1,0,2.0293,True
857,DB01029,CCCCC1=NC2(CCCC2)C(=O)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1,428.23245951600006,5,1,4.777400000000004,True
858,DB01030,CC[C@@]1(O)C(=O)OCC2=C1C=C1N(CC3=CC4=C(C=CC(O)=C4CN(C)C)N=C13)C2=O,421.163770836,8,2,1.8468000000000002,True
859,DB01031,NC(=O)OC1(CCCCC1)C#C,167.094628656,2,1,1.4178,True
860,DB01032,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(O)=O,285.10347908800003,3,1,2.1955,True
861,DB01033,S=C1N=CNC2=C1NC=N2,152.015667128,3,2,1.0154899999999998,True
862,DB01035,CCN(CC)CCNC(=O)C1=CC=C(N)C=C1,235.168462292,3,2,1.3403999999999996,True
863,DB01036,CC(C)N(CC[C@H](C1=CC=CC=C1)C1=C(O)C=CC(C)=C1)C(C)C,325.240564612,2,1,5.341420000000006,True
864,DB01037,C[C@H](CC1=CC=CC=C1)N(C)CC#C,187.136099544,1,0,2.1826,True
865,DB01039,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C1=CC=C(Cl)C=C1,360.112836832,4,0,4.680000000000004,True
866,DB01041,O=C1N(C2CCC(=O)NC2=O)C(=O)C2=CC=CC=C12,258.0640568,4,1,0.08779999999999949,True
867,DB01042,N[C@@H](CC1=CC=C(C=C1)N(CCCl)CCCl)C(O)=O,304.07453317599993,3,2,1.925,True
868,DB01043,CC12CC3CC(C)(C1)CC(N)(C3)C2,179.167399672,1,1,2.6941000000000006,True
869,DB01044,COC1=C2N(C=C(C(O)=O)C(=O)C2=CC(F)=C1N1CCNC(C)C1)C1CC1,375.159434404,6,2,1.9803999999999997,True
870,DB01045,CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(O)C(\C=N\N4CCN(C)CC4)=C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(O)=C2C(O)=C3C,822.4051232960002,15,6,4.3354200000000045,False
